Variable,Value,Notes
n,2367,
--- Demographics ---,,
"Age at diagnosis (median, IQR)",57.0 (IQR 50.0–64.0),
  <50,618 (26.1%),
  50–59,900 (38.0%),
  60–69,541 (22.9%),
  70–79,222 (9.4%),
  ≥80,86 (3.6%),
Sex: Male,2237 (94.5%),
Sex: Female,130 (5.5%),
--- Tumor characteristics ---,,
Subsite: Overlapping esophagus,848 (35.8%),
Subsite: Abdominal esophagus,689 (29.1%),
Subsite: Esophagus NOS,392 (16.6%),
Subsite: Thoracic esophagus (lower),346 (14.6%),
Subsite: Cervical esophagus,70 (3.0%),
Subsite: Thoracic esophagus (upper),22 (0.9%),
Histology: SCC,2022 (85.4%),
Histology: Carcinoma NOS,184 (7.8%),
Histology: Other,97 (4.1%),
Histology: Adenocarcinoma,54 (2.3%),
Histology: Adenosquamous,10 (0.4%),
Grade: Moderately differentiated (G2),628 (26.5%),
Grade: Unknown/NA,497 (21.0%),
Grade: Poorly differentiated (G3),399 (16.9%),
Grade: Well differentiated (G1),56 (2.4%),
Grade: Undifferentiated (G4),6 (0.3%),
Stage: III,626 (26.4%),
Stage: Unknown/missing,609 (25.7%),
Stage: IV,575 (24.3%),
Stage: II,301 (12.7%),
Stage: I,256 (10.8%),
--- Treatment ---,,
Surgery,533 (22.5%),
Radiation,1709 (72.2%),
Chemotherapy,1704 (72.0%),
Immunotherapy,561 (23.7%),
Targeted therapy,543 (22.9%),
--- Lifestyle (available subset) ---,,
"BMI (median, IQR)",21.5 (IQR 19.1–23.9),
Smoker: nan,1180 (49.9%),
Smoker: Yes,1001 (42.3%),
Smoker: No,186 (7.9%),
Betel nut: nan,1541 (65.1%),
Betel nut: No,592 (25.0%),
Betel nut: Yes,234 (9.9%),
Alcohol: nan,1398 (59.1%),
Alcohol: Never,385 (16.3%),
Alcohol: Regular,376 (15.9%),
Alcohol: Past,198 (8.4%),
Alcohol: Social,10 (0.4%),
