covariate,HR,HR_lower95,HR_upper95,p
age,1.0048,1.0007,1.0089,0.0226
male,0.9578,0.7878,1.1645,0.6655
stage_II,1.1217,0.9665,1.3017,0.1308
stage_III,1.4548,1.2799,1.6535,0.0
stage_IV,2.4546,2.1648,2.7832,0.0
hist_Adenocarcinoma,0.9775,0.7178,1.3313,0.8853
hist_Carcinoma_NOS,0.8307,0.6986,0.9877,0.0357
hist_Adenosquamous,0.7395,0.3877,1.4105,0.3597
hist_Other,0.8209,0.6407,1.0518,0.1186
surgery,0.3962,0.3485,0.4504,0.0
radiation,0.9309,0.8154,1.0627,0.2889
chemo,0.8672,0.7582,0.9919,0.0376
immunotherapy,1.095,0.9641,1.2436,0.1624
