antecedent,consequent,n_co,n_ant,n_con,support,confidence_A→B,confidence_B→A,lift,odds_ratio
C00,C06,24,121,701,0.00063,0.1983,0.0342,10.705,13.535
C01,C05,4,107,160,0.00011,0.0374,0.025,8.839,9.353
C03,C05,11,299,160,0.00029,0.0368,0.0688,8.699,9.583
C01,C12,4,107,169,0.00011,0.0374,0.0237,8.369,8.84
C00,C03,7,121,299,0.00019,0.0579,0.0234,7.32,7.869
C00,C05,3,121,160,8e-05,0.0248,0.0187,5.863,6.081
C05,C09,5,160,228,0.00013,0.0312,0.0219,5.185,5.417
C13,C15,39,341,879,0.00103,0.1144,0.0444,4.923,5.635
C12,C15,19,169,879,0.0005,0.1124,0.0216,4.839,5.421
C01,C09,3,107,228,8e-05,0.028,0.0132,4.652,4.808
C03,C06,25,299,701,0.00066,0.0836,0.0357,4.513,4.975
C05,C06,12,160,701,0.00032,0.075,0.0171,4.048,4.352
C09,C12,4,228,169,0.00011,0.0175,0.0237,3.927,4.052
C02,C05,10,631,160,0.00026,0.0158,0.0625,3.747,3.978
C02,C03,17,631,299,0.00045,0.0269,0.0569,3.409,3.625
C01,C15,7,107,879,0.00019,0.0654,0.008,2.816,2.958
C05,C13,4,160,341,0.00011,0.025,0.0117,2.774,2.841
C10,C15,7,116,879,0.00019,0.0603,0.008,2.597,2.714
C02,C04,3,631,72,8e-05,0.0048,0.0417,2.498,2.571
C09,C15,12,228,879,0.00032,0.0526,0.0137,2.265,2.354
C04,C06,3,72,701,8e-05,0.0417,0.0043,2.249,2.309
C02,C06,24,631,701,0.00063,0.038,0.0342,2.053,2.133
C15,C32,9,879,203,0.00024,0.0102,0.0443,1.908,1.96
C54,C56,6,473,255,0.00016,0.0127,0.0235,1.882,1.915
C06,C10,4,701,116,0.00011,0.0057,0.0345,1.861,1.897
C04,C15,3,72,879,8e-05,0.0417,0.0034,1.793,1.831
C03,C09,3,299,228,8e-05,0.01,0.0132,1.665,1.681
C05,C15,6,160,879,0.00016,0.0375,0.0068,1.614,1.642
