index_site,n_index,obs,exp,SIR,CI_lo,CI_hi,p,second_site,axis
C22,12204,7,82.09,0.085,0.024,0.171,0.0,C10,UADT
C22,12204,29,388.09,0.075,0.049,0.106,0.0,C67,Other
C22,12200,24,412.88,0.058,0.036,0.085,0.0,C16,GI
C22,12202,28,496.9,0.056,0.036,0.08,0.0,C15,UADT
C22,12204,11,224.41,0.049,0.022,0.085,0.0,C11,Other
C22,12203,35,775.1,0.045,0.031,0.062,0.0,C61,Lung/prostate
C22,12204,5,136.97,0.037,0.007,0.08,0.0,C19,GI
C22,12201,59,1646.31,0.036,0.027,0.046,0.0,C34,Lung/prostate
C22,12203,36,1230.1,0.029,0.02,0.04,0.0,C18,GI
C22,12204,5,203.84,0.025,0.005,0.054,0.0,C13,UADT
C22,12203,11,450.16,0.024,0.011,0.042,0.0,C02,UADT
C22,12203,5,208.63,0.024,0.005,0.053,0.0,C77,Other
C22,12204,15,613.45,0.024,0.013,0.039,0.0,C20,GI
C22,12204,15,700.08,0.021,0.011,0.034,0.0,C50,Hormonal
C22,12203,8,393.07,0.02,0.008,0.038,0.0,C42,Other
