diag_yr,cohort,n_c22,n_total,c22_pct
2003,born <1960,438,1557,28.13102119460501
2003,born 1960–69,48,329,14.58966565349544
2003,born 1970–79,14,97,14.432989690721648
2003,born ≥1980,4,13,30.76923076923077
2004,born <1960,461,1891,24.37863564251719
2004,born 1960–69,50,383,13.054830287206268
2004,born 1970–79,20,141,14.184397163120568
2004,born ≥1980,6,11,54.54545454545454
2005,born <1960,547,1991,27.473631341034654
2005,born 1960–69,63,393,16.030534351145036
2005,born 1970–79,17,133,12.781954887218044
2005,born ≥1980,4,18,22.22222222222222
2006,born <1960,529,2027,26.097681302417364
2006,born 1960–69,62,479,12.943632567849686
2006,born 1970–79,14,166,8.433734939759036
2006,born ≥1980,3,13,23.076923076923077
2007,born <1960,585,2144,27.285447761194032
2007,born 1960–69,70,510,13.725490196078432
2007,born 1970–79,21,187,11.229946524064172
2007,born ≥1980,9,31,29.03225806451613
2008,born <1960,569,2793,20.37235947010383
2008,born 1960–69,80,592,13.513513513513514
2008,born 1970–79,27,228,11.842105263157894
2008,born ≥1980,10,51,19.607843137254903
2009,born <1960,621,3245,19.13713405238829
2009,born 1960–69,71,746,9.517426273458444
2009,born 1970–79,30,314,9.554140127388536
2009,born ≥1980,10,137,7.2992700729927
2010,born <1960,581,3156,18.40937896070976
2010,born 1960–69,78,753,10.358565737051793
2010,born 1970–79,39,389,10.025706940874036
2010,born ≥1980,6,133,4.511278195488721
2011,born <1960,607,3168,19.160353535353536
2011,born 1960–69,85,929,9.14962325080732
2011,born 1970–79,33,410,8.048780487804878
2011,born ≥1980,12,150,8.0
2012,born <1960,573,3240,17.685185185185183
2012,born 1960–69,76,957,7.941483803552769
2012,born 1970–79,38,434,8.755760368663594
2012,born ≥1980,10,173,5.780346820809249
2013,born <1960,603,3379,17.845516424977802
2013,born 1960–69,112,1056,10.606060606060606
2013,born 1970–79,49,525,9.333333333333334
2013,born ≥1980,13,211,6.161137440758294
2014,born <1960,533,3276,16.26984126984127
2014,born 1960–69,117,1079,10.843373493975903
2014,born 1970–79,37,545,6.7889908256880735
2014,born ≥1980,13,257,5.058365758754864
2015,born <1960,556,3394,16.381850324101354
2015,born 1960–69,135,1243,10.86082059533387
2015,born 1970–79,49,664,7.379518072289157
2015,born ≥1980,14,288,4.861111111111112
2016,born <1960,545,3289,16.570386135603528
2016,born 1960–69,138,1261,10.943695479777954
2016,born 1970–79,45,680,6.61764705882353
2016,born ≥1980,15,292,5.136986301369863
2017,born <1960,545,3444,15.824622531939605
2017,born 1960–69,144,1370,10.510948905109489
2017,born 1970–79,44,800,5.5
2017,born ≥1980,26,368,7.065217391304348
2018,born <1960,486,3214,15.121344119477287
2018,born 1960–69,143,1343,10.647803425167536
2018,born 1970–79,52,818,6.356968215158925
2018,born ≥1980,19,404,4.702970297029703
2019,born <1960,442,3065,14.420880913539968
2019,born 1960–69,156,1355,11.512915129151292
2019,born 1970–79,59,867,6.805074971164937
2019,born ≥1980,20,449,4.4543429844097995
2020,born <1960,396,2703,14.6503884572697
2020,born 1960–69,115,1267,9.076558800315707
2020,born 1970–79,49,787,6.226175349428209
2020,born ≥1980,13,414,3.140096618357488
