index,index_label,n_index,target,target_label,O,E,SIR,CI_low,CI_high,p,FDR
C15,Esophagus,1878,C13,Hypopharynx,30,6.43,4.67,3.15,6.66,2.6879165559989815e-11,1.2364416157595315e-09
C04,Floor of mouth,175,C13,Hypopharynx,5,1.17,4.27,1.39,9.96,0.014077221938082474,0.04047201307198711
C12,Pyriform,387,C15,Esophagus,23,6.08,3.78,2.4,5.68,2.5076635079557263e-07,2.8838130341490853e-06
C15,Esophagus,1878,C12,Pyriform,12,3.34,3.59,1.85,6.27,0.000385844680946823,0.0016135323021412597
C03,Gum,633,C06,Oral NOS,38,11.25,3.38,2.39,4.64,6.107925276666037e-10,9.365485424221257e-09
C10,Oropharynx,327,C15,Esophagus,14,4.36,3.21,1.76,5.39,0.00036754274215033966,0.0016135323021412597
C05,Palate,413,C06,Oral NOS,23,7.22,3.18,2.02,4.78,4.526756439027224e-06,3.470513269920872e-05
C05,Palate,413,C09,Tonsil,6,2.04,2.94,1.08,6.39,0.03640996491699555,0.07975516124675217
C05,Palate,413,C03,Gum,18,6.14,2.93,1.74,4.63,0.00015073133871568167,0.0007704046201023729
C13,Hypopharynx,795,C15,Esophagus,32,11.2,2.86,1.96,4.04,5.817760604376332e-07,5.352339756026225e-06
C05,Palate,413,C02,Tongue,17,6.6,2.58,1.5,4.12,0.0010152978646849053,0.003891975147958804
C05,Palate,413,C13,Hypopharynx,8,3.15,2.54,1.1,5.01,0.03080180535554833,0.0745727919134328
C09,Tonsil,635,C15,Esophagus,28,11.85,2.36,1.57,3.41,9.10724144500552e-05,0.000598475866386077
C15,Esophagus,1878,C09,Tonsil,10,4.32,2.31,1.11,4.25,0.026761601753994002,0.06839076003798467
C15,Esophagus,1878,C10,Oropharynx,8,3.53,2.27,0.98,4.47,0.05553392013977132,0.10644001360122837
C10,Oropharynx,327,C02,Tongue,8,3.59,2.23,0.96,4.4,0.060330277756684536,0.11100771107229955
C05,Palate,413,C15,Esophagus,17,7.85,2.17,1.26,3.47,0.0061449178261814286,0.020190444286024692
C09,Tonsil,635,C12,Pyriform,5,2.37,2.11,0.69,4.93,0.18354497833065686,0.2787437789978613
C09,Tonsil,635,C02,Tongue,20,9.5,2.1,1.29,3.25,0.003942330495343205,0.013949784829675956
C03,Gum,633,C02,Tongue,19,9.9,1.92,1.16,3.0,0.012989200638403586,0.039833548624437665
C09,Tonsil,635,C13,Hypopharynx,9,4.74,1.9,0.87,3.61,0.10432020305857281,0.17773071632201293
C04,Floor of mouth,175,C15,Esophagus,5,2.88,1.74,0.56,4.05,0.3292042945586622,0.432668501419956
C02,Tongue,2074,C06,Oral NOS,70,42.4,1.65,1.29,2.09,0.00012764834104195266,0.0007339779609912278
C02,Tongue,2074,C04,Floor of mouth,9,5.64,1.59,0.73,3.03,0.23662501298527716,0.33349968839146715
C12,Pyriform,387,C06,Oral NOS,8,5.58,1.43,0.62,2.83,0.4001543285905216,0.5113083087545554
C12,Pyriform,387,C02,Tongue,7,4.9,1.43,0.57,2.94,0.44635527840603206,0.5403248107020389
C06,Oral NOS,2322,C05,Palate,28,22.04,1.27,0.84,1.84,0.24848156764749518,0.3361809444642582
C02,Tongue,2074,C03,Gum,41,32.63,1.26,0.9,1.7,0.17524314986399214,0.2779718928877117
C06,Oral NOS,2322,C03,Gum,51,41.87,1.22,0.91,1.6,0.18784906845508043,0.2787437789978613
C02,Tongue,2074,C05,Palate,19,16.44,1.16,0.7,1.8,0.5906958316522823,0.6793002064001247
C13,Hypopharynx,795,C02,Tongue,10,9.21,1.09,0.52,2.0,0.8813991877619667,0.9009858363788993
C06,Oral NOS,2322,C02,Tongue,49,46.03,1.06,0.79,1.41,0.699951285975732,0.766613313211516
C03,Gum,633,C05,Palate,5,4.81,1.04,0.34,2.43,1.0,1.0
C02,Tongue,2074,C12,Pyriform,8,9.29,0.86,0.37,1.7,0.8372888264556901,0.8753474094764033
C02,Tongue,2074,C09,Tonsil,10,11.63,0.86,0.41,1.58,0.7740118756374241,0.8280127041702676
C06,Oral NOS,2322,C10,Oropharynx,10,12.1,0.83,0.4,1.52,0.6743894484452954,0.7566320641093558
C13,Hypopharynx,795,C06,Oral NOS,8,10.47,0.76,0.33,1.51,0.5654907748849629,0.6669891190950845
C02,Tongue,2074,C15,Esophagus,30,43.35,0.69,0.47,0.99,0.04177751204052711,0.08735297972110215
C02,Tongue,2074,C10,Oropharynx,6,8.91,0.67,0.25,1.47,0.4302715542733247,0.5349322026100793
C06,Oral NOS,2322,C09,Tonsil,10,14.98,0.67,0.32,1.23,0.23924977645474818,0.33349968839146715
C15,Esophagus,1878,C02,Tongue,7,12.71,0.55,0.22,1.13,0.1255062785644663,0.2061888862130518
C03,Gum,633,C15,Esophagus,6,11.81,0.51,0.19,1.11,0.10188360763775053,0.17773071632201293
C15,Esophagus,1878,C06,Oral NOS,7,14.5,0.48,0.19,0.99,0.04782945330221146,0.09565890660442292
C02,Tongue,2074,C13,Hypopharynx,8,17.18,0.47,0.2,0.92,0.022687374411839545,0.06138936605556583
C06,Oral NOS,2322,C12,Pyriform,5,12.32,0.41,0.13,0.95,0.03314953265175526,0.0762439250990371
C06,Oral NOS,2322,C15,Esophagus,14,54.19,0.26,0.14,0.43,1.6849877495331213e-10,3.875471823926179e-09
